startup_name,tagline,detail_url,siren,category,match_status,match_found,survival,etat_administratif,date_creation,date_cessation,patents_total,has_patent,person_block
Céole,Wind tower construction plants,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ceole-wind-tower-construction-plants.html,534370267,Energy generation (95),OK,1,1,ACTIVE,2011-10-12,,0,0,personneMorale
2IDEA,Solar refrigerators & freezers,https://www.frenchcleantech.com/company/categories/energy-generation/profile/2idea-solar-refrigerators-freezers.html,482897097,Energy generation (95),OK,1,1,ACTIVE,2008-11-13,,1,1,personneMorale
Systovi,Innovative building integrated photovoltaïc,https://www.frenchcleantech.com/company/categories/energy-generation/profile/systovi-innovative-building-integrated-photovoltaic.html,509496998,Energy generation (95),OK,1,0,CESSATION,2008-12-17,2020-09-30,18,1,personneMorale
Tecnisun,Vacuum tube solar,https://www.frenchcleantech.com/company/categories/energy-generation/profile/tecnisun-vacuum-tube-solar.html,491708939,Energy generation (95),OK,1,1,ACTIVE,2006-08-31,,0,0,personneMorale
Deinove,reinvent bioethanol,https://www.frenchcleantech.com/company/categories/energy-generation/profile/deinove-reinvents-bioethanol.html,492272521,Energy generation (95),OK,1,1,ACTIVE,2006-10-11,,4,1,personneMorale
Arveni,Autonomous energy generator,https://www.frenchcleantech.com/company/categories/energy-generation/profile/arveni-autonomous-energy-generator.html,501332647,Energy generation (95),OK,1,1,ACTIVE,2014-02-10,,2,1,personneMorale
PACMI,Microbial fuel cell technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/pacmi-microbial-fuel-cell-technology.html,417698149,Energy generation (95),OK,1,1,ACTIVE,1998-02-15,,0,0,personneMorale
Europlasma,Plasma torches technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/europlasma-plasma-torches-technology.html,384256095,Energy generation (95),OK,1,1,ACTIVE,2005-01-27,,17,1,personneMorale
Methaneva,Methanization & Biogas,https://www.frenchcleantech.com/company/categories/energy-generation/profile/methaneva-methanization-biogas.html,490231297,Energy generation (95),OK,1,1,ACTIVE,2006-05-02,,0,0,personneMorale
Exosun,Solar tracking specialist,https://www.frenchcleantech.com/company/categories/energy-generation/profile/exosun-solar-tracking-specialist.html,498664762,Energy generation (95),OK,1,0,CESSATION,2007-06-25,2024-09-16,17,1,personneMorale
Robin Sun,Glass wall producing hot water,https://www.frenchcleantech.com/company/categories/energy-generation/profile/robin-sun-launches-solar-glazing.html,442591046,Energy generation (95),OK,1,1,ACTIVE,2002-07-08,,1,1,personneMorale
Sinovia,City lighting solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sinovia-city-lighting-solution.html,490779980,Energy generation (95),OK,1,1,ACTIVE,2011-08-17,,0,0,personneMorale
Windcap energy,Aerocap tower,https://www.frenchcleantech.com/company/categories/energy-generation/profile/windcap-energy-aerocap-tower.html,,Energy generation (95),NOT_FOUND,0,,,,,,,
Hiolles industries,A growing player in renewable energy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hiolles-industries-a-growing-player-in-renewable-energy.html,325230811,Energy generation (95),OK,1,1,ACTIVE,1982-08-10,,0,0,personneMorale
Olmix,A green refinery project,https://www.frenchcleantech.com/company/categories/energy-generation/profile/olmix-a-green-refinery-project.html,402120034,Energy generation (95),OK,1,1,ACTIVE,1995-09-13,,23,1,personneMorale
Shamash,Innovative microalgae research,https://www.frenchcleantech.com/company/categories/energy-generation/profile/shamash-innovative-microalgae-research.html,818252835,Energy generation (95),OK,1,1,ACTIVE,2016-02-05,,0,0,personneMorale
Akaeno,Leveraging wastewater,https://www.frenchcleantech.com/company/categories/energy-generation/profile/akaeno-biological-treatment-of-industrial-wastewater.html,449793256,Energy generation (95),OK,1,0,CESSATION,2006-05-15,2019-07-10,4,1,personneMorale
Solaref,Solar ice fridge,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solaref-solar-ice-fridge.html,504893355,Energy generation (95),OK,1,0,CESSATION,2009-04-16,2020-07-20,0,0,personneMorale
Apple wind,The wind future,https://www.frenchcleantech.com/company/categories/energy-generation/profile/apple-wind-the-wind-future.html,501726590,Energy generation (95),OK,1,1,ACTIVE,2007-12-27,,0,0,personneMorale
Nheolis,A revolution in wind energy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/nheolis-a-revolution-in-wind-energy.html,487697294,Energy generation (95),OK,1,0,CESSATION,2011-02-23,2022-07-01,0,0,personneMorale
Bionersis,Biogas to electricity,https://www.frenchcleantech.com/company/categories/energy-generation/profile/bionersis-biogas-to-energy-solutions.html,481147478,Energy generation (95),OK,1,1,ACTIVE,2005-03-07,,0,0,personneMorale
Ceram Hyd,Hydrogen storage,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ceram-hyd-hydrogen-storage.html,484573761,Energy generation (95),OK,1,1,ACTIVE,2005-10-13,,10,1,personneMorale
Solaire direct,First french solar utility,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solaire-direct-first-french-solar-utility.html,511835613,Energy generation (95),OK,1,0,CESSATION,2009-04-27,2015-12-09,0,0,personneMorale
Vergnet,Wind turbine manufacturer,https://www.frenchcleantech.com/company/categories/energy-generation/profile/vergnet-the-only-french-wind-turbine-manufacturer.html,504388844,Energy generation (95),OK,1,1,ACTIVE,2008-04-30,,0,0,personnePhysique
Sabella,Marine energy solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sabella-marine-energy-solutions.html,509163689,Energy generation (95),OK,1,1,ACTIVE,2008-11-27,,25,1,personneMorale
Fermentalg,Ocean Green Energy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/fermentalg-ocean-green-energy.html,509935151,Energy generation (95),OK,1,1,ACTIVE,2009-01-15,,52,1,personneMorale
Litelis,Gasification and treatment of piped odours,https://www.frenchcleantech.com/company/categories/energy-generation/profile/verite-bioenvironmental-technology.html,438872301,Energy generation (95),OK,1,1,ACTIVE,2001-03-01,,2,1,personneMorale
Lhyfe,Green hydrogen producer,https://www.frenchcleantech.com/company/categories/energy-generation/profile/lhyfe-green-hydrogen-producer.html,850415290,Energy generation (95),OK,1,1,ACTIVE,2019-04-29,,0,0,personneMorale
Saurea,Autonomous solar motor,https://www.frenchcleantech.com/company/categories/energy-generation/profile/saurea-autonomous-solar-motor.html,938916574,Energy generation (95),OK,1,1,ACTIVE,2024-12-30,,0,0,personneMorale
Hysilabs,the alternative hydrogen supply,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hysilabs-the-alternative-hydrogen-supply.html,809599939,Energy generation (95),OK,1,1,ACTIVE,2015-02-13,,2,1,personneMorale
Comwatt,Manufacturer for self consumption boxes,https://www.frenchcleantech.com/company/categories/energy-generation/profile/comwatt-manufacturer-for-self-consumption-boxes.html,798311981,Energy generation (95),OK,1,1,ACTIVE,2013-11-05,,3,1,personneMorale
Blue Shark Power System,Hydro Kinetic Turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/blue-shark-power-system-hydro-kinetic-turbine.html,792479974,Energy generation (95),OK,1,1,ACTIVE,2013-12-31,,0,0,personneMorale
Mini Green Power,High tech mini power plants,https://www.frenchcleantech.com/company/categories/energy-generation/profile/mini-green-power-high-tech-mini-power-plants.html,802741751,Energy generation (95),OK,1,1,ACTIVE,2014-06-11,,3,1,personneMorale
Steadysun,Solar production forecasting specialist,https://www.frenchcleantech.com/company/categories/energy-generation/profile/steadysun-solar-production-forecasting-specialist.html,792522492,Energy generation (95),OK,1,0,CESSATION,2013-04-17,2024-01-23,0,0,personneMorale
Save innovations,Recover energy of low flow fluids,https://www.frenchcleantech.com/company/categories/energy-generation/profile/save-innovations-recover-energy-of-low-flow-fluids.html,789078870,Energy generation (95),OK,1,1,ACTIVE,2012-11-02,,12,1,personneMorale
Cornis,Blade inspection technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/cornis-blade-inspection-technology.html,537464711,Energy generation (95),OK,1,1,ACTIVE,2011-10-27,,2,1,personneMorale
BoostHeat,New boiler generation,https://www.frenchcleantech.com/company/categories/energy-generation/profile/boostheat-new-boiler-generation.html,531404275,Energy generation (95),OK,1,1,ACTIVE,2023-04-20,,8,1,personneMorale
Innovative Energy,Innovative wind turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/innovative-energy-innovative-wind-turbine.html,793185877,Energy generation (95),OK,1,1,ACTIVE,2014-01-17,,0,0,personneMorale
Solaire 2G,Advanced hybrid solar PV-T system,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solair2g-advanced-hybrid-solar-pv-t-system.html,830364147,Energy generation (95),OK,1,1,ACTIVE,2017-06-20,,0,0,personneMorale
Erneo,Direct drive permanent magnet generators,https://www.frenchcleantech.com/company/categories/energy-generation/profile/erneo-direct-drive-permanent-magnet-generators.html,511073181,Energy generation (95),OK,1,1,ACTIVE,2009-03-16,,11,1,personneMorale
Hydroquest,Hydrokinetic turbines for rivers and estuaries,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hydroquest-hydrokinetic-turbines-for-rivers-and-estuaries.html,523807758,Energy generation (95),OK,1,1,ACTIVE,2010-07-19,,13,1,personneMorale
Disasolar,Flexible Innovative Solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/disasolar-flexible-innovative-solution.html,525305892,Energy generation (95),OK,1,1,ACTIVE,2010-10-04,,1,1,personneMorale
Nenuphar,Vertical axis wind turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/nenuphar-vertical-axis-wind-turbine.html,534181060,Energy generation (95),OK,1,1,ACTIVE,2011-08-23,,0,0,personneMorale
Open Ocean,Marine energy consultancy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/open-ocean-marine-energy-consultancy.html,534409230,Energy generation (95),OK,1,1,ACTIVE,2011-09-02,,0,0,personneMorale
Helioclim,Reversible solar air conditioning solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/helioclim-reversible-solar-air-conditioning-solutions.html,891996589,Energy generation (95),OK,1,1,ACTIVE,2020-12-14,,0,0,personneMorale
ez-Wheel,Electric wheel solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ez-wheel-electric-wheel-solutions.html,518704887,Energy generation (95),OK,1,0,CESSATION,2009-12-11,2024-10-04,5,1,personneMorale
Photofuel,Harnessing the energy of sunlight photons,https://www.frenchcleantech.com/company/categories/energy-generation/profile/photofuel-harnessing-the-energy-of-sunlight-photons.html,510342652,Energy generation (95),OK,1,1,ACTIVE,2009-02-06,,6,1,personneMorale
Biomethodes,"Integrated biotech, Renewable chemistry and energy",https://www.frenchcleantech.com/company/categories/energy-generation/profile/biomethodes-integrated-biotech-renewable-chemistry-and-energy.html,,Energy generation (95),NOT_FOUND,0,,,,,,,
Greensystech,Micro energy system solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/greensystech-micro-energy-system-solution.html,523847697,Energy generation (95),OK,1,0,CESSATION,2010-07-20,2025-11-27,0,0,personneMorale
Solar Euromed,Concentrated Solar Power Technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solar-euromed-concentrated-solar-power-technology.html,498218643,Energy generation (95),OK,1,1,ACTIVE,2007-05-30,,0,0,personneMorale
Watt & Sea,Cruising hydrogenerator,https://www.frenchcleantech.com/company/categories/energy-generation/profile/watt-sea-cruising-hydrogenerator.html,514026467,Energy generation (95),OK,1,1,ACTIVE,2009-08-04,,1,1,personneMorale
Turbiwatt,Hydroelectric turbines for low waterflows,https://www.frenchcleantech.com/company/categories/energy-generation/profile/turbiwatt-hydroelectric-turbines-for-low-waterflows.html,520793662,Energy generation (95),OK,1,1,ACTIVE,2010-03-08,,0,0,personneMorale
Eco.cinetic,Innovative tidal turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ecocinetic-innovative-tidal-turbine.html,,Energy generation (95),NOT_FOUND,0,,,,,,,
Eviagenics,From biotech to cleantech,https://www.frenchcleantech.com/company/categories/energy-generation/profile/eviagenics-.html,,Energy generation (95),NOT_FOUND,0,,,,,,,
Mecamidi,Hydro Power expert,https://www.frenchcleantech.com/company/categories/energy-generation/profile/mecamidi-hydro-power-expert.html,580800217,Energy generation (95),OK,1,1,ACTIVE,1918-06-05,,0,0,personneMorale
Biodiv-Wind,Fauna technology company,https://www.frenchcleantech.com/company/categories/energy-infrastructure/profile/biodiv-wind-fauna-technology-company.html,538449737,Energy infrastructure (22),OK,1,1,ACTIVE,2016-02-08,,1,1,personneMorale
Forcity,Smart City Software,https://www.frenchcleantech.com/company/categories/energy-infrastructure/profile/forcity-smart-city-software.html,799957840,Energy infrastructure (22),OK,1,0,CESSATION,2014-01-27,2021-03-25,0,0,personneMorale
CoSMo Company,Complex Systems Modeling,https://www.frenchcleantech.com/company/categories/energy-infrastructure/profile/cosmo-company-complex-systems-modeling.html,908542301,Energy infrastructure (22),OK,1,1,ACTIVE,2021-12-23,,0,0,personneMorale
Rockmat,Foundation for rocky seabed,https://www.frenchcleantech.com/company/categories/energy-infrastructure/profile/rockmat-foundation-for-rocky-seabed.html,,Energy infrastructure (22),NOT_FOUND,0,,,,,,,
Sylfen,Innovative hydrogen-based storage solutions,https://www.frenchcleantech.com/company/categories/energy-storage/profile/sylfen.html,811828086,Energy storage (27),OK,1,1,ACTIVE,2015-06-05,,0,0,personneMorale
Levisys,Levitation systems,https://www.frenchcleantech.com/company/categories/energy-storage/profile/levisys-levitation-systems.html,479661472,Energy storage (27),OK,1,1,ACTIVE,2013-04-18,,4,1,personneMorale
Electro Power Systems,Integrated storage solutions,https://www.frenchcleantech.com/company/categories/energy-storage/profile/electro-power-systems.html,,Energy storage (27),NOT_FOUND,0,,,,,,,
Ergosup,High pressure hydrogen,https://www.frenchcleantech.com/company/categories/energy-storage/profile/ergosup-innovative-energy-and-conversion-stockage-method.html,521588236,Energy storage (27),OK,1,1,ACTIVE,2012-11-15,,4,1,personneMorale
Forsee Power,Battery system integrator,https://www.frenchcleantech.com/company/categories/energy-storage/profile/forsee-power-battery-system-integrator.html,494605488,Energy storage (27),OK,1,1,ACTIVE,2007-02-28,,9,1,personneMorale
NawaTechnologies,Supercapacitator electricity storage device,https://www.frenchcleantech.com/company/categories/energy-storage/profile/nawatechnologies-supercapacitator-electricity-storage-device.html,918351636,Energy storage (27),OK,1,0,CESSATION,2022-08-10,2023-03-14,0,0,personneMorale
E4V,Energy storage,https://www.frenchcleantech.com/company/categories/energy-storage/profile/e4v-energy-storage.html,505371252,Energy storage (27),OK,1,1,ACTIVE,2011-01-10,,8,1,personneMorale
I-Ten,Innovative micro battery,https://www.frenchcleantech.com/company/categories/energy-storage/profile/i-ten-micro-thin-film-batteries.html,438791899,Energy storage (27),OK,1,1,ACTIVE,2001-07-20,,0,0,personneMorale
Ad-Venta,Solutions for high pressure gas applications,https://www.frenchcleantech.com/company/categories/energy-storage/profile/ad-venta-solutions-for-high-pressure-gas-applications.html,484832050,Energy storage (27),OK,1,1,ACTIVE,2005-11-03,,16,1,personneMorale
EV Tronic,Charging stations for electric vehicles,https://www.frenchcleantech.com/company/categories/energy-storage/profile/evtronic-charging-stations-for-electric-vehicles.html,,Energy storage (27),NOT_FOUND,0,,,,,,,
Pragma Industries,Fuel cell hydrogen energy,https://www.frenchcleantech.com/company/categories/energy-storage/profile/pragma-industries.html,478038219,Energy storage (27),OK,1,1,ACTIVE,2006-12-01,,13,1,personneMorale
Accium,On-Chip Integration of High Energy Battery Management Systems,https://www.frenchcleantech.com/company/categories/energy-storage/profile/accium-on-chip-integration-of-high-energy-battery-management-sys.html,484913983,Energy storage (27),OK,1,1,ACTIVE,2005-11-09,,0,0,personneMorale
N-GHY,Fuel processors for fuel cells,https://www.frenchcleantech.com/company/categories/energy-storage/profile/n-ghy-hydrogen-technology-and-engineering.html,324207042,Energy storage (27),OK,1,1,ACTIVE,1982-04-21,,0,0,personneMorale
McPhy Energy,Solid-State hydrogen tank,https://www.frenchcleantech.com/company/categories/energy-storage/profile/mcphy-energy-solid-state-hydrogen-tank.html,502205917,Energy storage (27),OK,1,1,ACTIVE,2024-03-27,,4,1,personneMorale
Geogreen,Expert in CO2 geological storage,https://www.frenchcleantech.com/company/categories/energy-storage/profile/geogreen-expert-in-co2-transport-and-geological-storage.html,499836831,Energy storage (27),OK,1,0,CESSATION,2007-09-06,2021-11-10,0,0,personneMorale
Kaplan Energy,Solar water heater,https://www.frenchcleantech.com/company/categories/energy-storage/profile/kaplan-energy-a-french-innovation-in-solar-water-heaters.html,510876626,Energy storage (27),OK,1,1,ACTIVE,2011-04-29,,0,0,personneMorale
Batscap,Lithium metal polymer battery,https://www.frenchcleantech.com/company/categories/energy-storage/profile/batscap-lithium-metal-polymer-battery.html,,Energy storage (27),NOT_FOUND,0,,,,,,,
Vulkam,Amorphous metal,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/vulkam-revolutionize-metallurgy.html,833877517,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2017-12-08,,6,1,personneMorale
Innobat,Green Building Future,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/innobat-green-builing-future.html,888360013,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2020-08-27,,0,0,personneMorale
Processium,Process integration & technology,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/processium-process-integration-technology.html,443737200,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2002-10-16,,2,1,personneMorale
Jet metal technologies,Clean coating technology,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/jet-metal-technologies-clean-coating-technology.html,493561526,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2007-01-05,,12,1,personneMorale
JD Transbio,Bio degradable production pot,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/jd-transbio-bio-degradable-production-pot.html,501169973,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2007-11-29,,1,1,personneMorale
Pylote,Innovative green particles,https://www.frenchcleantech.com/company/categories/manufacturing-industrial/profile/pylote-introduces-innovative-green-particles.html,508481827,Manufacturing / Industrial (15),OK,1,1,ACTIVE,2008-10-07,,10,1,personneMorale
Lactips,Thermoplastic pellets based on milk protein,https://www.frenchcleantech.com/company/categories/materials/profile/lactips-thermoplastic-pellets-based-on-milk-protein.html,801500018,Materials (38),OK,1,1,ACTIVE,2014-07-02,,8,1,personneMorale
Argilus,Clay plaster and ecological material,https://www.frenchcleantech.com/company/categories/materials/profile/argilus-clay-plaster-and-ecological-material.html,815204821,Materials (38),OK,1,1,ACTIVE,2015-12-11,,0,0,personneMorale
Biolie,Clean solvant-free enzyme,https://www.frenchcleantech.com/company/categories/materials/profile/biolie-clean-solvant-free-enzyme.html,527903801,Materials (38),OK,1,1,ACTIVE,2010-10-25,,3,1,personneMorale
Carbios,Green chemistry applied to polymers,https://www.frenchcleantech.com/company/categories/materials/profile/carbios-green-chemistry-applied-to-polymers.html,531530228,Materials (38),OK,1,1,ACTIVE,2011-05-31,,11,1,personneMorale
BT3 Technologies,Green chemistry,https://www.frenchcleantech.com/company/categories/materials/profile/bt3-technologies-green-chemistry.html,524782075,Materials (38),OK,1,1,ACTIVE,2010-09-13,,2,1,personneMorale
Biomiscanthus France,A breakthrough in bio plastic,https://www.frenchcleantech.com/company/categories/materials/profile/biomiscanthus-france-a-breakthrough-in-organic-the-plastics.html,513947259,Materials (38),OK,1,1,ACTIVE,2012-01-20,,0,0,personneMorale
Polymem,Membrane Manufacturer,https://www.frenchcleantech.com/company/categories/materials/profile/polymem-membrane-manufacturer.html,410795223,Materials (38),OK,1,1,ACTIVE,1997-02-07,,10,1,personneMorale
Seawax,Marine Coating made from natural ingredients,https://www.frenchcleantech.com/company/categories/materials/profile/seawax-marine-coating-made-from-natural-ingredients.html,515244838,Materials (38),OK,1,1,ACTIVE,2009-09-10,,3,1,personneMorale
Magpie Polymers,For metal capture and recycling,https://www.frenchcleantech.com/company/categories/materials/profile/magpie-polymers-for-metal-capture-and-recycling.html,530510528,Materials (38),OK,1,0,CESSATION,2011-02-14,2018-02-15,0,0,personneMorale
Sphere,Sugarcane bioplastics,https://www.frenchcleantech.com/company/categories/materials/profile/sphere-group-biodegradable-garbage-and-green-waste-bags.html,929029056,Materials (38),OK,1,1,ACTIVE,2024-05-27,,0,0,personneMorale
PCAS,Innovative insulation material,https://www.frenchcleantech.com/company/categories/materials/profile/pcas-innovative-insulation-material.html,622019503,Materials (38),OK,1,1,ACTIVE,1971-04-15,,17,1,personneMorale
Taskeo,natural fiber car components,https://www.frenchcleantech.com/company/categories/materials/profile/taskeo-natural-fiber-car-components.html,452923360,Materials (38),OK,1,1,ACTIVE,2004-04-03,,0,0,personneMorale
Recupere Metals,Copper electrical wires from 100% recycled feedstock,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/recupere-metals-copper-electrical-wires-from-100-recycled-feedst.html,942960170,Recycling & Waste (34),OK,1,1,ACTIVE,2025-05-12,,0,0,personneMorale
Recyc'elit,Recycle all type of complex textile,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/recycelit-.html,,Recycling & Waste (34),NOT_FOUND,0,,,,,,,
Mecaware,Battery recycling,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/mecaware-battery-recycling.html,892414566,Recycling & Waste (34),OK,1,1,ACTIVE,2020-12-29,,0,0,personneMorale
Cy-Clope,Cigarette stub collector,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/cy-clope-cigarette-stub-collector.html,810701748,Recycling & Waste (34),OK,1,1,ACTIVE,2015-04-10,,0,0,personneMorale
Neodyss,Creating value from wasted flare gas,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/neodyss-creating-value-from-wasted-flare-gas.html,528630635,Recycling & Waste (34),OK,1,1,ACTIVE,2010-12-01,,0,0,personneMorale
Ecoslops,Innovative marine fuel oil recycling solution.,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/ecoslops-recycle-ships-oily-waste.html,514197995,Recycling & Waste (34),OK,1,1,ACTIVE,2009-08-18,,0,0,personneMorale
Sedigate,Dredged sediments management,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/sedigate-shore-management-of-dredged-sediments.html,524073004,Recycling & Waste (34),OK,1,0,CESSATION,2010-08-10,2022-01-19,0,0,personneMorale
Terra Nova Metal,Print circuit board recycling,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/terranova-metal-print-circuit-board-recylcling.html,483501243,Recycling & Waste (34),OK,1,0,CESSATION,2005-07-18,2006-09-30,0,0,personneMorale
Innoveox,Supercritical Water Oxidation,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/innoveox-supercritical-water-oxidation.html,505364026,Recycling & Waste (34),OK,1,1,ACTIVE,2008-07-24,,13,1,personneMorale
Trinov,Environmental waste management software,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/trinov-environmental-waste-management-software.html,498582493,Recycling & Waste (34),OK,1,1,ACTIVE,2007-06-21,,0,0,personneMorale
Pyrum Innovations,Recycling process for used tires,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/pyrum-innovations-tire-recycling.html,500155783,Recycling & Waste (34),OK,1,1,ACTIVE,2021-05-28,,0,0,personneMorale
Rhodia,Innovative process for recycling of rare earths,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/rhodia-innovative-process-for-recycling-of-rare-earths.html,892363060,Recycling & Waste (34),OK,1,1,ACTIVE,2021-01-04,,0,0,personneMorale
Sorepla,A leader in reclamation plastic waste,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/sorepla-a-leader-in-reclamation-plastic-waste.html,382945467,Recycling & Waste (34),OK,1,0,CESSATION,1991-09-16,2018-12-20,0,0,personneMorale
Ecoceane,Ships for collecting waste and hydrocarbons,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/ecoceane-ships-for-collecting-waste-and-hydrocarbons.html,477659676,Recycling & Waste (34),OK,1,1,ACTIVE,2004-07-12,,6,1,personneMorale
Envolure,Innovative effluent eco-analysis,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/envolure-innovative-effluent-eco-analysis.html,520527797,Recycling & Waste (34),OK,1,1,ACTIVE,2010-02-26,,0,0,personneMorale
Stoc Environnement,Individual wastewater treatment,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/stoc-environnement-individual-wastewater-treatment-innovations.html,447605460,Recycling & Waste (34),OK,1,1,ACTIVE,2007-02-27,,0,0,personneMorale
BH Environnement,Optimise waste collection,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/bh-environnement-optimises-waste-collection.html,833328958,Recycling & Waste (34),OK,1,1,ACTIVE,2017-11-15,,1,1,personneMorale
CKFD,Innovative recycle cans system,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/ckfd-innovative-recycle-cans-system.html,893677963,Recycling & Waste (34),OK,1,1,ACTIVE,2021-02-05,,0,0,personneMorale
VBC3000,Building with sewage,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/vbc3000-building-with-sewage.html,,Recycling & Waste (34),NOT_FOUND,0,,,,,,,
Pellenc Selective Technologies,Sorting machines,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/pellenc-selective-technologies-sorting-machines.html,435267885,Recycling & Waste (34),OK,1,1,ACTIVE,2001-04-05,,20,1,personneMorale
Recupyl,Hazardous waste recycling,https://www.frenchcleantech.com/company/categories/recycling-waste/profile/recupyl-hazardous-waste-recycling.html,392678793,Recycling & Waste (34),OK,1,1,ACTIVE,1993-10-26,,16,1,personneMorale
Bluefins,Decarbonize ocean shipping with zero-emission,https://www.frenchcleantech.com/company/categories/transportation/profile/bluefins-decarbonize-ocean-shipping-with-zero-emission.html,892357575,Transportation (23),OK,1,1,ACTIVE,2020-12-24,,0,0,personneMorale
EMD,Electric Urban Cargo,https://www.frenchcleantech.com/company/categories/transportation/profile/emd-electric-urban-cargo.html,951007152,Transportation (23),OK,1,1,ACTIVE,2023-04-05,,0,0,personneMorale
Azure Trend,Yacht's one stop water solution.,https://www.frenchcleantech.com/company/categories/transportation/profile/azure-trend-yachts-one-stop-water-solution.html,534458997,Transportation (23),OK,1,1,ACTIVE,2011-09-06,,0,0,personneMorale
Xor Motors,Electric scooters,https://www.frenchcleantech.com/company/categories/transportation/profile/xor-motors-electric-scooters.html,,Transportation (23),NOT_FOUND,0,,,,,,,
Advansolar,Solar electric mobility,https://www.frenchcleantech.com/company/categories/transportation/profile/advansolar-cyclo-solar-electric-bikes.html,814299277,Transportation (23),OK,1,0,CESSATION,2015-10-23,2022-11-30,0,0,personneMorale
Sol’r,Green Solar airship,https://www.frenchcleantech.com/company/categories/transportation/profile/solr-solar-airship-from-insa-lyon.html,519476725,Transportation (23),OK,1,1,ACTIVE,2010-01-14,,0,0,personneMorale
Electravia,Driving the silence,https://www.frenchcleantech.com/company/categories/transportation/profile/electravia-driving-the-silence.html,508086626,Transportation (23),OK,1,1,ACTIVE,2011-04-27,,0,0,personneMorale
Courb C-Zen,A new automotive concept,https://www.frenchcleantech.com/company/categories/transportation/profile/courb-c-zen-a-new-automtive-concept.html,,Transportation (23),NOT_FOUND,0,,,,,,,
Kumulus,The water utility company of the future,https://www.frenchcleantech.com/company/categories/water-wastewater/profile/kumulus-the-water-utility-company-of-the-future.html,902971720,Water & Wastewater (36),OK,1,1,ACTIVE,2021-09-08,,2,1,personneMorale
Fruition Sciences,Precise water monitoring,https://www.frenchcleantech.com/company/categories/water-wastewater/profile/fruitition-sciences-precise-water-monitoring.html,510193303,Water & Wastewater (36),OK,1,1,ACTIVE,2009-02-09,,0,0,personneMorale
TMW,Clean Water Solutions,https://www.frenchcleantech.com/company/categories/water-wastewater/profile/tmw-clean-water-solutions.html,424400943,Water & Wastewater (36),OK,1,1,ACTIVE,1999-09-28,,11,1,personneMorale
Fluidion,Fluidic intelligence,https://www.frenchcleantech.com/company/categories/water-wastewater/profile/fluidion.html,752898700,Water & Wastewater (36),OK,1,1,ACTIVE,2012-07-30,,0,0,personneMorale
